provider_id,qr_rating,permit_type,facility_type,capacity,head_start,first_steps,breastfeeding_friendly,sleep_safe,geo_county
507,1,License,Child Care Center,486,False,False,False,False,county_40
504,5,License,Child Care Center,135,False,False,False,False,county_40
2322,5,Approval,Child Care Center,264,True,False,False,False,county_7
489,1,License,Group Child Care Home,12,False,False,False,False,county_5
1706,1,License,Child Care Center,42,False,False,False,False,county_1
2288,4,License,Child Care Center,206,False,False,False,False,county_40
2073,1,License,Child Care Center,84,False,True,False,False,county_30
1652,3,License,Child Care Center,40,False,True,False,False,county_11
1968,5,Approval,Child Care Center,292,True,False,False,False,county_33
2245,1,Registration,Family Child Care Home,6,False,False,False,False,county_5
2205,1,Registration,Family Child Care Home,6,False,False,False,False,county_16
1165,1,License,Child Care Center,224,False,False,False,False,county_35
2011,1,Registration,Family Child Care Home,5,False,False,False,False,county_40
1517,1,Registration,Family Child Care Home,6,False,False,False,False,county_33
845,1,License,Child Care Center,41,False,False,False,False,county_18
2035,2,License,Child Care Center,139,False,True,False,False,county_40
2235,2,License,Child Care Center,62,False,True,False,False,county_25
929,2,License,Child Care Center,119,False,True,False,False,county_30
208,1,License,Child Care Center,91,False,False,False,False,county_13
1822,3,License,Child Care Center,338,False,True,False,False,county_33
1078,1,License,Child Care Center,108,False,False,False,False,county_1
821,2,Approval,Child Care Center,58,False,False,False,False,county_15
959,1,License,Child Care Center,52,False,False,False,False,county_9
1644,1,License,Child Care Center,25,False,False,False,False,county_5
1076,4,Approval,Child Care Center,102,True,False,False,False,county_16
979,5,Approval,Child Care Center,225,True,False,False,False,county_21
25,3,Approval,Child Care Center,21,True,False,False,False,county_17
877,3,License,Child Care Center,177,False,True,False,False,county_9
1828,2,Approval,Child Care Center,43,False,False,False,False,county_23
1390,5,Approval,Child Care Center,44,False,False,False,False,county_11
1596,1,License,Child Care Center,24,False,False,False,False,county_23
2316,1,License,Child Care Center,123,False,True,False,False,county_1
417,1,License,Child Care Center,94,False,False,False,False,county_28
1006,2,License,Child Care Center,50,False,False,False,False,county_36
1088,2,License,Child Care Center,66,False,False,False,False,county_14
2279,1,License,Child Care Center,170,False,True,False,False,county_35
956,1,License,Child Care Center,338,False,False,False,False,county_30
302,1,License,Child Care Center,152,False,False,False,False,county_9
379,1,License,Child Care Center,42,False,False,False,False,county_28
2187,1,License,Child Care Center,94,False,False,False,False,county_40
1690,1,License,Child Care Center,85,False,True,False,False,county_28
191,4,License,Child Care Center,77,False,True,False,False,county_40
1668,5,License,Child Care Center,186,False,False,False,True,county_9
1884,2,Approval,Child Care Center,230,True,False,False,False,county_25
638,1,Registration,Family Child Care Home,6,False,False,False,False,county_22
2282,1,License,Child Care Center,37,False,True,False,False,county_11
1495,4,Approval,Child Care Center,60,True,False,False,False,county_22
1469,3,Registration,Family Child Care Home,6,False,False,False,False,county_25
1713,1,Registration,Family Child Care Home,6,False,False,False,False,county_32
1153,3,Registration,Family Child Care Home,6,False,False,False,False,county_25
393,2,License,Child Care Center,68,False,False,False,False,county_9
1986,2,License,Child Care Center,96,False,True,False,False,county_32
714,3,License,Child Care Center,41,False,True,False,False,county_11
1642,1,License,Child Care Center,112,False,False,False,False,county_1
1640,1,License,Child Care Center,237,False,True,False,False,county_9
668,1,License,Child Care Center,48,False,False,False,False,county_30
80,1,License,Child Care Center,43,False,False,False,False,county_17
795,2,Approval,Child Care Center,172,True,False,False,False,county_1
1060,1,License,Child Care Center,132,False,False,False,False,county_9
216,3,License,Child Care Center,165,False,True,False,False,county_30
807,1,License,Child Care Center,73,False,False,False,False,county_29
1313,1,License,Child Care Center,29,False,False,False,False,county_29
512,3,Registration,Family Child Care Home,6,False,False,False,False,county_35
1058,2,License,Child Care Center,203,False,True,False,False,county_6
20,1,Registration,Family Child Care Home,6,False,False,False,False,county_26
1157,3,License,Child Care Center,77,False,True,False,False,county_30
2253,4,Approval,Child Care Center,60,True,False,False,False,county_22
