provider_id,qr_rating,program_type,provider_type,provider_id_source,name_academy,name_early_head_start,name_head_start,name_learning_center,name_preschool,geo_region,name_other
170,3,Group,Family Home Child Care,license,,,,,,region_1,
66,3,Center,Child Care Center,license,,,,,,region_1,other
12,2,Group,Family Home Child Care,license,,,,,Preschool,region_1,
38,2,Center,,synthetic,,,,,,region_1,
23,2,Group,Group Home Child Care,license,,,,,Preschool,region_1,
47,2,Group,Group Home Child Care,license,,,,,,region_6,
35,4,Center,Child Care Center,license,,,,,,region_5,
208,3,Center,,synthetic,,,Head Start,,,region_1,
97,4,Center,,synthetic,,,Head Start,,,region_4,
72,3,Center,,synthetic,,,,Learning Center,,region_4,
73,5,Center,Child Care Center,license,,,,,Preschool,region_2,
76,4,Group,,synthetic,,,,,,region_2,
49,3,Group,Group Home Child Care,license,,,,,,region_2,
192,3,Center,Child Care Center,license,,,Head Start,,,region_6,
146,2,Center,,synthetic,,,,Learning Center,,region_4,other
118,5,Center,Child Care Center,license,,,,,Preschool,region_2,
124,4,Group,Group Home Child Care,license,,,,,,region_2,
14,4,Center,Child Care Center,license,,,,,,region_2,
63,4,Center,Child Care Center,license,,,,,,region_2,other
148,4,Group,Group Home Child Care,license,,,,,Preschool,region_2,
144,4,Group,,synthetic,,,,,Preschool,region_2,
56,4,Center,Child Care Center,license,,,,,,region_2,
79,4,Group,,synthetic,,,,,,region_2,
176,3,Center,Child Care Center,license,,,,,,region_2,
182,3,Group,Group Home Child Care,license,,,,,,region_2,
81,3,Center,Child Care Center,license,,,,,,region_2,
64,3,Center,Child Care Center,license,,,,Learning Center,,region_2,other
161,2,Center,Child Care Center,license,,,,,,region_2,
39,2,Group,,synthetic,,,,,,region_2,
101,2,Center,Child Care Center,license,,,,,,region_2,
138,2,Center,Child Care Center,license,,Early Head Start,Head Start,,,region_2,
191,2,Group,Group Home Child Care,license,,,,,,region_2,
78,2,Group,Group Home Child Care,license,,,,,Preschool,region_2,
164,2,Center,Child Care Center,license,,,,,Preschool,region_2,other
69,2,Center,,synthetic,,,,,Preschool,region_2,other
53,4,Center,,synthetic,,,,,,region_1,
51,2,Group,,synthetic,,,,,,region_3,
120,2,Group,Child Care Center,license,,,,,,region_3,
128,2,Group,Group Home Child Care,license,,,,,,region_6,
116,2,Group,Group Home Child Care,license,,,,,,region_6,
36,4,Family,Family Home Child Care,license,,,,,,region_1,
10,3,Center,Child Care Center,license,,,,Learning Center,,region_1,
190,2,Group,Group Home Child Care,license,,,,,Preschool,region_7,
94,4,Group,Group Home Child Care,license,,,,,,region_1,
29,2,Group,,synthetic,,,,,,region_6,
1,4,Center,,synthetic,,,,,,region_7,
114,2,Group,Group Home Child Care,license,,,,,,region_3,
198,3,Group,Family Home Child Care,license,,,,,,region_6,
137,2,Group,Group Home Child Care,license,,,,,,region_6,
201,2,Center,Child Care Center,license,,,,,Preschool,region_6,
141,5,Center,,synthetic,,,,,,region_4,
168,3,Center,,synthetic,,,Head Start,,,region_1,
160,2,Group,Group Home Child Care,license,,,,,,region_3,
75,2,Center,Child Care Center,license,,,,Learning Center,,region_4,
162,2,Center,Child Care Center,license,,,,,,region_1,
163,2,Group,Group Home Child Care,license,,,,,,region_1,
34,5,Group,Child Care Center,license,,,,,,region_4,
167,5,Center,,synthetic,,,,,,region_4,
